AÑO;MES;PRODUCTO;CATEGORIA;CCAA;PROVINCIA;ENTRADAS;VISITAS_PAGINAS;GASTO_TOTAL;PRECIO_MEDIO_ENTRADA;TRANSACCIONES
2023;8;Espectaculos;Cultura, teatro y danza;País Vasco;Araba/Álava;2;8;6,3;3,15;1
2023;8;Espectaculos;Música;País Vasco;Araba/Álava;204;3669;854,76;4,19;114
2023;8;Actividades;Actividades infantiles;País Vasco;Araba/Álava;61;243;267,79;4,39;16
2023;8;Espectaculos;Cultura, teatro y danza;País Vasco;Araba/Álava;295;1174;1516,3;5,14;105
2023;8;Espectaculos;Museo y exposiciones;País Vasco;Araba/Álava;47;187;199,75;4,25;13
2023;8;Espectaculos;Música;Castilla - La Mancha;Albacete;18;72;234;13;9
2023;8;Espectaculos;Cultura, teatro y danza;Castilla - La Mancha;Albacete;118;470;926,3;7,85;57
2023;8;Espectaculos;Cine;Castilla - La Mancha;Albacete;21;84;68,46;3,26;8
2023;8;Espectaculos;Música;Castilla - La Mancha;Albacete;311;1238;3110;10;308
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;933;3531;14704,08;15,76;494
2023;8;Espectaculos;Cultura, teatro y danza;Comunitat Valenciana;Alicante/Alacant;134;533;3355,36;25,04;52
2023;8;Actividades;Gastronomía;Comunitat Valenciana;Alicante/Alacant;10;40;150;15;4
2023;8;Actividades;Actividades infantiles;Comunitat Valenciana;Alicante/Alacant;6;24;147,36;24,56;5
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;25;99;375;15;11
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;12;48;186;15,5;3
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;2;8;32,48;16,24;1
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;271;1079;5235,72;19,32;114
2023;8;Espectaculos;Cultura, teatro y danza;Comunitat Valenciana;Alicante/Alacant;41;155;291,92;7,12;19
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;164;653;2835,56;17,29;69
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;42;167;714,84;17,02;27
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;228;907;1388,52;6,09;90
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;247;983;6804,85;27,55;110
2023;8;Espectaculos;Música;Comunitat Valenciana;Alicante/Alacant;100;398;1519;15,19;50
2023;8;Espectaculos;Música;Andalucía;Almería;630;2507;10791,9;17,13;332
2023;8;Espectaculos;Música;Andalucía;Almería;14;56;231;16,5;6
2023;8;Espectaculos;Música;Andalucía;Almería;5;20;149,8;29,96;3
2023;8;Espectaculos;Música;Andalucía;Almería;5517;21956;278277,48;50,44;4080
2023;8;Actividades;Deportes y aventuras;Andalucía;Almería;7;28;361,9;51,7;3
2023;8;Espectaculos;Cultura, teatro y danza;Andalucía;Almería;1023;3834;19181,25;18,75;397
2023;8;Espectaculos;Cultura, teatro y danza;Andalucía;Almería;960;3821;23011,2;23,97;292
2023;8;Espectaculos;Cultura, teatro y danza;Castilla y León;Ávila;38;151;482,22;12,69;18
2023;8;Espectaculos;Música;Castilla y León;Ávila;35;139;350;10;29
2023;8;Actividades;Actividades infantiles;Extremadura;Badajoz;21;84;336;16;19
2023;8;Espectaculos;Cultura, teatro y danza;Extremadura;Badajoz;82;326;1481,74;18,07;60
2023;8;Espectaculos;Música;Extremadura;Badajoz;5;20;84,2;16,84;3
2023;8;Espectaculos;Música;Extremadura;Badajoz;18;72;452,52;25,14;8
2023;8;Actividades;Actividades infantiles;Extremadura;Badajoz;18;72;452,52;25,14;8
2023;8;Espectaculos;Música;Extremadura;Badajoz;50;199;351,5;7,03;25
2023;8;Actividades;Deportes y aventuras;Extremadura;Badajoz;14;337;194,04;13,86;12
2023;8;Espectaculos;Musicales;Extremadura;Badajoz;4;16;70,4;17,6;1
2023;8;Espectaculos;Música;Extremadura;Badajoz;9;36;198;22;5
2023;8;Actividades;Actividades infantiles;Extremadura;Badajoz;4;16;70,4;17,6;1
2023;8;Espectaculos;Cultura, teatro y danza;Extremadura;Badajoz;4;16;70,4;17,6;1
2023;8;Actividades;Deportes y aventuras;Extremadura;Badajoz;92;391;710,24;7,72;61
2023;8;Espectaculos;Musicales;Extremadura;Badajoz;14;56;224;16;4
2023;8;Actividades;Deportes y aventuras;Extremadura;Badajoz;2;8;38;19;2
2023;8;Actividades;Actividades infantiles;Extremadura;Badajoz;16;64;280;17,5;6
2023;8;Espectaculos;Cultura, teatro y danza;Extremadura;Badajoz;14;56;224;16;4
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;8;32;109,12;13,64;5
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;175;696;3228,75;18,45;98
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;165;657;2121,9;12,86;60
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;43;171;429,57;9,99;16
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;30;119;155,4;5,18;22
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;118;470;1430,16;12,12;52
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;113;450;1132,26;10,02;52
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;18;72;151,74;8,43;6
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;16;64;445,6;27,85;15
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;1281;5098;49677,18;38,78;667
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;15;60;735;49;6
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;58;231;929,74;16,03;20
2023;8;Actividades;Gastronomía;Illes Balears;Illes Balears;15;60;735;49;6
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;59;235;3186;54;22
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;175;696;2527;14,44;93
2023;8;Actividades;Gastronomía;Illes Balears;Illes Balears;59;235;3186;54;22
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;4;16;77,4;19,35;3
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;1890;7522;30277,8;16,02;812
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;18;72;186,48;10,36;8
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;775;3084;17050;22;320
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;23;92;4586,43;199,41;16
2023;8;Espectaculos;Musicales;Illes Balears;Illes Balears;71;283;1795,59;25,29;32
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;11;5090;459,91;41,81;5
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;71;283;1795,59;25,29;32
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;79;314;579,86;7,34;38
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;239;951;2707,87;11,33;127
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;3;12;150;50;3
2023;8;Espectaculos;Cine;Illes Balears;Illes Balears;1;4;3;3;1
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;46;183;480,7;10,45;18
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;1495;5950;10554,7;7,06;519
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;190;756;2650,5;13,95;80
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;101;402;1575,6;15,6;80
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;685;2726;9569,45;13,97;482
2023;8;Espectaculos;Musicales;Illes Balears;Illes Balears;300;1194;9417;31,39;110
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;13721;51375;218026,69;15,89;8802
2023;8;Actividades;Deportes y aventuras;Illes Balears;Illes Balears;9;36;121,23;13,47;9
2023;8;Actividades;Actividades infantiles;Illes Balears;Illes Balears;19;76;2390,01;125,79;15
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;384;1432;6424,32;16,73;153
2023;8;Espectaculos;Museo y exposiciones;Illes Balears;Illes Balears;1;4;5,18;5,18;1
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;257;1023;3379,55;13,15;87
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;331;1317;5021,27;15,17;153
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;51;203;528,36;10,36;25
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;737;2933;16258,22;22,06;359
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;1540;5781;19511,8;12,67;706
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;460;1830;5669,5;12,325;233
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;99;572;977,13;9,87;54
2023;8;Actividades;Deportes y aventuras;Illes Balears;Illes Balears;52;207;780;15;34
2023;8;Actividades;Actividades infantiles;Illes Balears;Illes Balears;21;154;63;3;6
2023;8;Espectaculos;Cultura, teatro y danza;Illes Balears;Illes Balears;33;131;178,2;5,4;11
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;4;16;60;15;2
2023;8;Actividades;Actividades infantiles;Illes Balears;Illes Balears;4;16;60;15;2
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;552;2197;3726;6,75;422
2023;8;Actividades;Cursos;Illes Balears;Illes Balears;15;60;735;49;5
2023;8;Espectaculos;Música;Illes Balears;Illes Balears;50;199;524;10,48;36
